"region_full","SMU","DU_name_short","du_number","species","gen_length","COSEWIC_status","per_change_recent","per_change_all","recent_abundance","last_year_monitored","prob_designation_recent"
"Van. Isl. Main. Inl.","ECVI/MAINLAND SOCKEYE SALMON","Nahwitti","SE060","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","ECVI/MAINLAND SOCKEYE SALMON","Nimpkish","SE061","Sockeye-Lake",5,"Not assessed",209,-14,30029,2017,"Not at risk"
"Van. Isl. Main. Inl.","ECVI/MAINLAND SOCKEYE SALMON","Quatse","SE062","Sockeye-Lake",4,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","ECVI/MAINLAND SOCKEYE SALMON","Schoen","SE063","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","ECVI/MAINLAND SOCKEYE SALMON","Shushartie","SE064","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","ECVI/MAINLAND SOCKEYE SALMON","Woss","SE065","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","ECVI/MAINLAND SOCKEYE SALMON","Vernon","SE066","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","WCVI -OTHER SOCKEYE SALMON","Cecilia","SE067","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","WCVI -OTHER SOCKEYE SALMON","Cheewat","SE068","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","WCVI -OTHER SOCKEYE SALMON","Clayoquot","SE069","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","WCVI -OTHER SOCKEYE SALMON","Deserted","SE070","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","WCVI -OTHER SOCKEYE SALMON","Fairy","SE071","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","WCVI - BARKLEY SOCKEYE SALMON","Great Central","SE072","Sockeye-Lake",5,"Not assessed",-38,-13,139976,2020,"Threatened"
"Van. Isl. Main. Inl.","WCVI - BARKLEY SOCKEYE SALMON","Henderson","SE073","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
