"region_full","SMU","DU_name_short","du_number","species","gen_length","COSEWIC_status","per_change_recent","per_change_all","recent_abundance","last_year_monitored","prob_designation_recent"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Kent Inlet","SE125","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Kildidt Lagoon Creek","SE126","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Kisameet","SE127","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Koeye","SE128","Sockeye-Lake",5,"Not assessed",90,9,10861,2021,"Not at risk"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Kooryet","SE129","Sockeye-Lake",5,"Not assessed",-97,-25,40,2020,"Endangered"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Kwakwa","SE130","Sockeye-Lake",5,"Not assessed",-97,-25,1130,2021,"Endangered"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Limestone","SE131","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Mary Cove","SE132","Sockeye-Lake",5,"Not assessed",42,-50,660,2018,"Threatened"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Mikado","SE133","Sockeye-Lake",5,"Not assessed",-63,11,4410,2017,"Endangered"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Namu","SE134","Sockeye-Lake",5,"Not assessed",37,-10,3514,2021,"Not at risk"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Port John","SE135","Sockeye-Lake",5,"Not assessed",110,-26,294,2021,"Threatened"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Powles","SE136","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Skeena","CENTRAL COAST SOCKEYE SALMON","Prudhomme","SE137","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Ryan","SE138","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Salter","SE139","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Scoular/Kilpatrick","SE140","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Skeena","CENTRAL COAST SOCKEYE SALMON","Shawatlan","SE141","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Spencer","SE142","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Talamoosa","SE143","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Tankeeah","SE144","Sockeye-Lake",5,"Not assessed",-46,-21,2000,2020,"Threatened"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Tsimtack","SE145","Sockeye-Lake",5,"Not assessed",2221,-12,1560,2021,"Not at risk"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Tuno West","SE146","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Wale","SE147","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Yeo","SE148","Sockeye-Lake",5,"Not assessed",-70,-2,1700,2021,"Endangered"
"Skeena","SKEENA SOCKEYE SALMON","Alastair","SE149","Sockeye-Lake",6,"Status assessment recommended",-68,9,23511,2022,"Endangered"
"Skeena","SKEENA SOCKEYE SALMON","Aldrich","SE150","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Skeena","SKEENA SOCKEYE SALMON","Dennis","SE151","Sockeye-Lake",5,"Status assessment recommended",NA,NA,NA,NA,NA
"Skeena","SKEENA SOCKEYE SALMON","Ecstall/Lower","SE152","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Skeena","SKEENA SOCKEYE SALMON","Johnston","SE153","Sockeye-Lake",5,"Not assessed",-99,2,400,2023,"Endangered"
"Skeena","SKEENA SOCKEYE SALMON","Kitsumkalum","SE154","Sockeye-Lake",5,"Not assessed",-46,137,20704,2023,"Threatened"
"Skeena","SKEENA SOCKEYE SALMON","Lakelse","SE155","Sockeye-Lake",5,"Not assessed",-58,-9,19257,2023,"Endangered"
"Skeena","SKEENA SOCKEYE SALMON","Mcdonell","SE156","Sockeye-Lake",5,"Not assessed",-24,27,5814,2023,"Special concern"
"Skeena","SKEENA SOCKEYE SALMON","Atna","SE157","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Skeena",NA,"Babine","SE158","Sockeye-Lake",5,"Not assessed",7,28,466198,2023,"Not at risk"
"Skeena","SKEENA SOCKEYE SALMON","Babine-early","SE158-early","Sockeye-Lake",5,"Status assessment recommended",-52,-21,10963,2023,"Endangered"
"Skeena","SKEENA SOCKEYE SALMON","Babine-mid","SE158-mid","Sockeye-Lake",5,"Not assessed",-62,-29,42969,2023,"Endangered"
"Skeena","NASS SOCKEYE SALMON","Bulkley","SE159","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Skeena",NA,"Kitwancool","SE160","Sockeye-Lake",5,"Status assessment recommended",-95,40,1188,2023,"Endangered"
"Skeena","SKEENA SOCKEYE SALMON","Maxan","SE161","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Skeena","SKEENA SOCKEYE SALMON","Morice","SE162","Sockeye-Lake",6,"Not assessed",105,88,19165,2023,"Not at risk"
"Skeena","SKEENA SOCKEYE SALMON","Stephens","SE163","Sockeye-Lake",5,"Status assessment recommended",-9,29,20340,2023,"Not at risk"
"Skeena","SKEENA SOCKEYE SALMON","Babine-late","SE164","Sockeye-Lake",5,"Not assessed",-74,-2,1894,2023,"Endangered"
"Skeena","SKEENA SOCKEYE SALMON","Footsore/Hodder","SE165","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Skeena","SKEENA SOCKEYE SALMON","Asitika","SE166","Sockeye-Lake",5,"Status assessment recommended",-80,46,192,2023,"Endangered"
"Skeena","SKEENA SOCKEYE SALMON","Azuklotz","SE167","Sockeye-Lake",5,"Not assessed",-15,35,2204,2023,"Special concern"
"Skeena","SKEENA SOCKEYE SALMON","Bear","SE168","Sockeye-Lake",5,"Not assessed",-73,40,1170,2023,"Endangered"
"Skeena","SKEENA SOCKEYE SALMON","Damshilgwit","SE169","Sockeye-Lake",5,"Status assessment recommended",-15,-15,323,2023,"Threatened"
"Skeena","SKEENA SOCKEYE SALMON","Johanson","SE170","Sockeye-Lake",5,"Status assessment recommended",224,20,428,2023,"Threatened"
"Skeena","SKEENA SOCKEYE SALMON","Kluatantan","SE171","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Skeena","SKEENA SOCKEYE SALMON","Kluayaz","SE172","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Skeena","SKEENA SOCKEYE SALMON","Motase","SE173","Sockeye-Lake",5,"Not assessed",-85,-34,22,2023,"Endangered"
