cuid,cuname,cu_acronym,du_number,du_acronym,DU_name,trtc_cu,FULL_CU_IN,spp,gen_length,COSEWIC_status,ca_check_012022,
573,Kooryet,,,,,SX_L-19-34,SEL-19-34,Sockeye-Lake,5,,,
574,Kunsoot River,,,,,SX_L-19-35,SEL-19-35,Sockeye-Lake,5,,,
575,Kwakwa Creek,,,,,SX_L-19-36,SEL-19-36,Sockeye-Lake,5,,,
576,Lewis Creek,,,,,SX_L-19-37,SEL-19-37,Sockeye-Lake,5,,,
577,Limestone Creek,,,,,SX_L-19-38,SEL-19-38,Sockeye-Lake,5,,,
578,Lowe/Simpson/Weir,,,,,SX_L-19-39,SEL-19-39,Sockeye-Lake,5,,,
579,Mary Cove Creek,,,,,SX_L-19-40,SEL-19-40,Sockeye-Lake,5,,,
580,Mcdonald Creek,,,,,SX_L-19-41,SEL-19-41,Sockeye-Lake,5,,,
581,Mcloughlin,,,,,SX_L-19-42,SEL-19-42,Sockeye-Lake,5,,,
582,Mikado,,,,,SX_L-19-43,SEL-19-43,Sockeye-Lake,5,,,
583,Monckton Inlet Creek,,,,,SX_L-19-44,SEL-19-44,Sockeye-Lake,5,,,
584,Namu,,,,,SX_L-19-45,SEL-19-45,Sockeye-Lake,5,,,
585,Port John,,,,,SX_L-19-46,SEL-19-46,Sockeye-Lake,5,,,
586,Powles Creek,,,,,SX_L-19-47,SEL-19-47,Sockeye-Lake,5,,,
587,Price Creek,,,,,SX_L-19-48,SEL-19-48,Sockeye-Lake,5,,,
588,Roderick,,,,,SX_L-19-50,SEL-19-50,Sockeye-Lake,5,,,
589,Ryan Creek,,,,,SX_L-19-51,SEL-19-51,Sockeye-Lake,5,,,
590,Salter,,,,,SX_L-19-52,SEL-19-52,Sockeye-Lake,5,,,
591,Scoular/Kilpatrick,,,,,SX_L-19-53,SEL-19-53,Sockeye-Lake,5,,,
592,Sheneeza Inlet,,,,,SX_L-19-55,SEL-19-55,Sockeye-Lake,5,,,
593,Ship Point Creek,,,,,SX_L-19-56,SEL-19-56,Sockeye-Lake,5,,,
594,Spencer Creek,,,,,SX_L-19-57,SEL-19-57,Sockeye-Lake,5,,,
595,Stannard Creek,,,,,SX_L-19-58,SEL-19-58,Sockeye-Lake,5,,,
596,Talamoosa Creek,,,,,SX_L-19-59,SEL-19-59,Sockeye-Lake,5,,,
597,Tankeeah River,,,,,SX_L-19-60,SEL-19-60,Sockeye-Lake,5,,,
598,Treneman Creek,,,,,SX_L-19-61,SEL-19-61,Sockeye-Lake,5,,,
599,Tsimtack/Moore/Roger,,,,,SX_L-19-62,SEL-19-62,Sockeye-Lake,5,,,
600,Tuno Creek East,,,,,SX_L-19-63,SEL-19-63,Sockeye-Lake,5,,,
601,Tuno Creek West,,,,,SX_L-19-64,SEL-19-64,Sockeye-Lake,5,,,
602,Tyler Creek,,,,,SX_L-19-65,SEL-19-65,Sockeye-Lake,5,,,
603,Wale Creek,,,,,SX_L-19-66,SEL-19-66,Sockeye-Lake,5,,,
604,Watt Bay,,,,,SX_L-19-67,SEL-19-67,Sockeye-Lake,5,,,
605,West Creek,,,,,SX_L-19-68,SEL-19-68,Sockeye-Lake,5,,,
606,Yaaklele Lagoon,,,,,SX_L-19-69,SEL-19-69,Sockeye-Lake,5,,,
607,Yeo,,,,,SX_L-19-70,SEL-19-70,Sockeye-Lake,5,,,
614,Northern Coastal Fjords,,,,,SX_R16,SER-16,Sockeye-Lake,4,,,
711,Chilliwack_Early Summer,,SE5,,Chilliwack-ES population,SEL-03-001,SEL-03-01,Sockeye-Lake,4,Not at risk,,
712,Cultus_Late,,SE6,,Cultus-L population,SEL-03-002,SEL-03-02,Sockeye-Lake,4,Endangered,,
713,Harrison-downstream migrating_Late,,SE9,,Harrison (D/S)-L population,SEL-03-003,SEL-03-03,Sockeye-Lake,4,Special Concern,,
714,Harrison-upstream migrating_Late,,SE10,,Harrison (U/S)-L population,SEL-03-004,SEL-03-04,Sockeye-Lake,4,Endangered,,
715,Pitt_Early Summer,,SE15,,Pitt-ES population,SEL-03-005,SEL-03-05,Sockeye-Lake,4,Not at risk,,
716,Lillooet/Harrison_Late,,SE12,,Lillooet-Harrison-L population,SEL-04-001,SEL-04-01,Sockeye-Lake,4,Special Concern,,
718,Nahatlatch_Early Summer,,SE13,,Nahatlatch-ES population,SEL-05-002,SEL-05-02,Sockeye-Lake,4,Special Concern,,
719,Anderson/Seton_Early Summer,,SE1,,Anderson-Seton-ES population,SEL-06-001,SEL-06-01,Sockeye-Lake,4,Not at risk,,
720,Chilko_Early Summer,,,,Chilko-ES population / Chilko-S population,SEL-06-002,SEL-06-02,Sockeye-Lake,4,Not at risk,,
721,Chilko_Summer,,,,Chilko-ES population / Chilko-S population,SEL-06-003,SEL-06-03,Sockeye-Lake,4,Not at risk,,
725,Francois/Fraser_Summer,,SE7,,Francois-Fraser-S population,SEL-06-007,SEL-06-07,Sockeye-Lake,4,Special Concern,,
727,Nadina/Francois_Early Summer,,SE8,,Nadina-Francois-ES population,SEL-06-020,SEL-06-20,Sockeye-Lake,4,Not at risk,,
728,Quesnel_Summer,,SE16,,Quesnel-S population,SEL-06-010,SEL-06-10,Sockeye-Lake,4,Endangered,,
729,Seton_Late,,SE17,,Seton-L population,SEL-06-011,SEL-06-11,Sockeye-Lake,4,Endangered,,
731,Takla/Trembleur/Stuart_Summer,,SE21,,Takla-Trembleur-Stuart-S population,SEL-06-013,SEL-06-13,Sockeye-Lake,4,Endangered,,
732,Takla/Trembleur_Early Stuart,,SE20,,Takla-Trembleur-EStu population,SEL-06-014,SEL-06-14,Sockeye-Lake,4,Endangered,,
734,Taseko_Early Summer,,SE22,,Taseko-ES population,SEL-06-016,SEL-06-16,Sockeye-Lake,4,Endangered,,
735,Bowron_Early Summer,,SE2,,Bowron-ES population,SEL-07-001,SEL-07-01,Sockeye-Lake,4,Endangered,,
738,Shuswap_Early Summer,,SE19,,Shuswap-ES population,SEL-09-002,SEL-09-02,Sockeye-Lake,4,Not at risk,,
739,Shuswap_Late,,SE18,,Shuswap Complex-L population,SEL-09-003,SEL-09-03,Sockeye-Lake,4,Not at risk,,
740,Kamloops_Early Summer,,SE11,,Kamloops-ES population,SEL-10-001,SEL-10-01,Sockeye-Lake,4,Special Concern,,
751,Adams and Momich Lakes_Early Summer,,,,Adams ES,SEL-09-912,SEL-09-xx,Sockeye-Lake,4,Threatened,,
751,Adams and Momich Lakes_Early Summer,,,,Momich-ES,SEL-09-912,SEL-09-xx,Sockeye-Lake,4,Threatened,,
752,North Barriere_Early Summer,,SE14,,North Barriere-ES population,SEL-10-003,SEL-10-03,Sockeye-Lake,4,Threatened,,
819,Ain/Skundale/Ian,,,,,NA,SEL-17-01,Sockeye-Lake,NA,,,
820,Awun,,,,,SX_L-17-02,SEL-17-02,Sockeye-Lake,5,,,
821,Fairfax,,,,,NA,SEL-17-03,Sockeye-Lake,5,,,
822,Jalun,,,,,NA,SEL-17-04,Sockeye-Lake,5,,,
823,MARIAN,,,,,SX_L-17-05,SEL-17-05,Sockeye-Lake,5,,,
824,Mathers,,,,,SX_L-17-06,SEL-17-06,Sockeye-Lake,5,,,
825,Mercer,,,,,SX_L-17-07,SEL-17-07,Sockeye-Lake,5,,,
826,Skidegate,,,,,SX_L-17-08,SEL-17-08,Sockeye-Lake,5,,,
827,Yakoun,,,,,SX_L-17-09,SEL-17-09,Sockeye-Lake,5,,,
927,Fulmore,,,,,SEL-11-001,SEL-11-01,Sockeye-Lake,5,,,
928,Heydon,,,,,SEL-11-002,SEL-11-02,Sockeye-Lake,5,,,
929,Kakweiken,,,,,SEL-11-003,SEL-11-03,Sockeye-Lake,5,,,
930,Loose,,,,,SEL-11-004,SEL-11-04,Sockeye-Lake,5,,,
931,Mackenzie,,,,,SEL-11-005,SEL-11-05,Sockeye-Lake,5,,,
932,Phillips,,,,,SEL-11-006,SEL-11-06,Sockeye-Lake,5,,,
933,Sakinaw,,,,Sakinaw population,SEL-11-007,SEL-11-07,Sockeye-Lake,5,Endangered,,
935,Tzoonie,,,,,SEL-11-009,SEL-11-09,Sockeye-Lake,5,,,
936,Village Bay,,,,,SEL-11-010,SEL-11-10,Sockeye-Lake,5,,,
937,Ida/Bonanza,,,,,SEL-12-001,SEL-12-01,Sockeye-Lake,5,,,
938,Nahwitti,,,,,SEL-12-002,SEL-12-02,Sockeye-Lake,5,,,
939,Nimpkish,,,,,SEL-12-003,SEL-12-03,Sockeye-Lake,5,,,
941,Quatse,,,,,SEL-12-005,SEL-12-05,Sockeye-Lake,4,,,
942,Schoen,,,,,SEL-12-006,SEL-12-06,Sockeye-Lake,5,,,
943,Shushartie,,,,,SEL-12-007,SEL-12-07,Sockeye-Lake,5,,,
944,Woss,,,,,SEL-12-008,SEL-12-08,Sockeye-Lake,5,,,
945,Alice,,,,,SEL-13-001,SEL-13-01,Sockeye-Lake,5,,,
946,Canoe Creek,,,,,SEL-13-002,SEL-13-02,Sockeye-Lake,5,,,
947,Cecilia,,,,,SEL-13-003,SEL-13-03,Sockeye-Lake,5,,,
948,Cheewat,,,,,SEL-13-004,SEL-13-04,Sockeye-Lake,5,,,
949,Clayoquot,,,,,SEL-13-005,SEL-13-05,Sockeye-Lake,5,,,
950,Deserted,,,,,SEL-13-006,SEL-13-06,Sockeye-Lake,5,,,
951,Fairy,,,,,SEL-13-007,SEL-13-07,Sockeye-Lake,5,,,
952,Great Central,,,,,SEL-13-008,SEL-13-08,Sockeye-Lake,5,,,
953,Henderson,,,,,SEL-13-009,SEL-13-09,Sockeye-Lake,5,,,
954,Hesquiat,,,,,SEL-13-010,SEL-13-10,Sockeye-Lake,5,,,
955,Hobiton,,,,,SEL-13-011,SEL-13-11,Sockeye-Lake,5,,,
956,Jansen,,,,,SEL-13-012,SEL-13-12,Sockeye-Lake,5,,,
957,Kanim,,,,,SEL-13-013,SEL-13-13,Sockeye-Lake,5,,,
958,Kennedy,,,,,SEL-13-014,SEL-13-14,Sockeye-Lake,5,,,
959,Maggie,,,,,SEL-13-015,SEL-13-15,Sockeye-Lake,5,,,
960,Megin,,,,,SEL-13-016,SEL-13-16,Sockeye-Lake,5,,,
961,Muchalat,,,,,SEL-13-017,SEL-13-17,Sockeye-Lake,5,,,
962,Muriel,,,,,SEL-13-018,SEL-13-18,Sockeye-Lake,5,,,
963,Nitinat,,,,,SEL-13-019,SEL-13-19,Sockeye-Lake,5,,,
964,O'Connell,,,,,SEL-13-020,SEL-13-20,Sockeye-Lake,5,,,
966,Park River,,,,,SEL-13-022,SEL-13-22,Sockeye-Lake,5,,,
967,Power,,,,,SEL-13-023,SEL-13-23,Sockeye-Lake,5,,,
969,Sproat,,,,,SEL-13-025,SEL-13-25,Sockeye-Lake,5,,,
970,William/Brink,,,,,SEL-13-026,SEL-13-26,Sockeye-Lake,5,,,
976,Vernon,,,,,SEL-12-009,SEL-12-09,Sockeye-Lake,5,,,
216,Skeena River-high interior,,SER41,USK,Upper Skeena River,SX_R19,SER-19,Sockeye-River,5,,y,
226,Skeena River,,SER39,LSK,Lower Skeena River,NA,SER-18,Sockeye-River,5,,y,
226,Skeena River,,SER40,MSK,Middle Skeena River,NA,SER-18,Sockeye-River,5,,y,
426,Lower Nass-Portland,,SER42,LNR-P,Lower Nass-Portland,SX_R20,SER-20,Sockeye-River,4,,y,
427,Upper Nass River,,SER43,UNR,Upper Nass River,SX_R21,SER-21,Sockeye-River,4,,y,
613,Rivers-Smith Inlets,,SER35,RSI,Rivers-Smith Inlets,SX_R12,SER-12,Sockeye-River,4,,y,
615,Northern Coastal,,SER38,HecLow,Hecate Lowlands,SX_R17,SER-17,Sockeye-River,4,,y,
742,Widgeon,,SER23,,Widgeon (River-Type) population,SER-002,SER-02,Sockeye-River,4,Threatened,y,
745,Harrison River,,SER24,,Harrison (River-Type) population,SER-003,SER-03,Sockeye-River,4,Not at risk,y,
816,East Haida Gwaii,,SER34,EHG,East Haida Gwaii,NA,SER-13,Sockeye-River,NA,,y,
817,North Haida Gwaii,,SER,,,NA,SER-14,Sockeye-River,NA,,,"Seems like the names is switched with SER-15, should be West Haida Gwaii?"
818,West Haida Gwaii,,,,,NA,SER-15,Sockeye-River,NA,,,"Seems like the names is switched with SER-14, should be North Haida Gwaii? "
971,Southern Fjords,,SER27,SC-SFj,South Coast-Southern Fjords,SER-009,SER-009,Sockeye-River,5,,y,
971,Southern Fjords,,SER29,HK,Hamothko-Klinaklini-Southern Fjords,SER-009,SER-009,Sockeye-River,5,,y,
972,West Vancouver Island,,SER30,WVI,West Vancouver Is,SER-010,SER-010,Sockeye-River,5,,y,
973,East Vancouver Island and Georgia Strait,,SER25,SC-GStr,South Coast-Georgia Strait,SER-008,SER-08,Sockeye-River,5,,y,
973,East Vancouver Island and Georgia Strait,,SER26,EVI-GStr,East Vancouver Island-Georgia Strait,SER-008,SER-08,Sockeye-River,5,,y,
973,East Vancouver Island and Georgia Strait,,SER28,EVI-SFj,East Vancouver Island-Southern Fjords,SER-008,SER-08,Sockeye-River,5,,y,
974,NW Vancouver Island,,SER31,NWVI,Northwest Vancouver Is,SER-011,SER-011,Sockeye-River,5,,y,
,Northern Transboundary Fjords ,,SER44,LStk,Stikine River,SER-022,SER-022,Sockeye-River,,,y,
,Northern Transboundary Fjords ,,SER45,TAKU,Taku River,SER-022,SER-022,Sockeye-River,,,y,
,Northern Transboundary Fjords ,,SER46,Whiting,Whiting River,SER-022,SER-022,Sockeye-River,,,y,
,Northern Transboundary Fjords ,,SER47,UNUK,Unuk River ,SER-022,SER-022,Sockeye-River,,,y,
,Chilkat River,,SER48,CHILKAT,Chilkat River,SER-023,SER-023,Sockeye-River,,,y,
,Alsek River ,,SER49,ALSEK,Alsek River ,SER-024,,Sockeye-River,,,y,
