"cuid","cuname.x","cu_acronym","du_number","du_acronym","DU_name","FULL_CU_IN","spp","gen_length","COSEWIC_status","survey_quality","survey_coverage","survey_execution","catch_quality","dq_score","cu_enh_rank","Sites"
977,"Northwest Vancouver Island","","","","","CM-11","Chum",4,"",2,1,3,3,9,"Moderate",63
978,"Southwest & West  Vancouver Island","","","","","CM-10","Chum",4,"",3,0,4,3,10,"Moderate",188
979,"Upper Knight","","","","","CM-9","Chum",4,"",0,0,0,0,0,"None",6
906,"Boundary Bay","BB","CO01","BB","Boundary Bay","CO-1","Coho",3,"",0,0,0,0,0,"High",4
750,"Lower Fraser","LFR","CO02","LFR","Lower Fraser ","CO-47","Coho",3,"",0,0,0,0,0,"Moderate",114
704,"Lillooet","LILL","CO03","LILL","Lillooet ","CO-4","Coho",3,"",0,0,0,0,0,"Moderate",16
705,"Fraser Canyon","FRCany","CO04","FRCany","Fraser Canyon","CO-5","Coho",3,"Threatened",3,0,5,0,8,"Moderate",10
749,"Interior Fraser","MFR","CO05","MFR","Middle Fraser","CO-48","Coho",3,"Threatened",3,0,4,0,7,"None",23
707,"Lower Thompson","LTHOM","CO06","LTHOM","Lower Thompson","CO-7","Coho",3,"Threatened",5,0,5,0,10,"Moderate",9
708,"South Thompson","STHOM","CO07","STHOM","South Thompson","CO-8","Coho",3,"Threatened",3,0,4,0,7,"Moderate",46
709,"North Thompson","NTHOM","CO08","NTHOM","North Thompson","CO-9","Coho",3,"Threatened",3,0,5,0,8,"Moderate",37
908,"Georgia Strait Mainland","SC+GStr","CO09","SC+GStr","Georgia Strait Mainland","CO-11","Coho",3,"",3,0,2,0,5,"Moderate",57
907,"Howe Sound-Burrard Inlet","Howe-Burrard","CO10","Howe-Burrard","Howe Sound-Burrard Inlet","CO-10","Coho",3,"",0,0,0,0,0,"Moderate",69
910,"East Vancouver Island-Georgia Strait","EVI+GStr","CO11","EVI+GStr","East Vancouver Island-Georgia Strait","CO-13","Coho",3,"",3,0,2,0,5,"Moderate",108
909,"Southern Coastal Streams-Queen Charlotte Strait-Johnstone Strait-Southern Fjords","SC+SFj","CO12","SC+SFj","South Coastal Streams-QCStr-JStr-SFjords","CO-12","Coho",3,"",3,0,1,0,4,"Moderate",117
916,"Homathko-Klinaklini Rivers","HK","CO13","HK+SFj","Homathko-Klinaklini","CO-19","Coho",3,"",0,0,0,0,0,"None",4
911,"East Vancouver Island-Johnstone Strait-Southern Fjords","EVI+SFj","CO14","EVI+SFj","E Vancouver Is – Johnstone Strait-SFjords","CO-14","Coho",3,"",3,0,5,0,8,"Moderate",16
914,"West Vancouver Island","WVI","CO15","WVI","West Vancouver Island","CO-17","Coho",3,"",3,0,3,0,6,"Moderate",126
915,"Clayoquot","CLAY","CO15","WVI","West Vancouver Island","CO-18","Coho",3,"",3,0,3,0,6,"Moderate",46
913,"Juan de Fuca-Pachena","JdF","CO16","JdF","Juan de Fuca-Pachena","CO-16","Coho",3,"",3,0,3,0,6,"Moderate",26
912,"Nahwitti Lowland","Nahwitti","CO17","NWVI","Northwest Vancouver Island","CO-15","Coho",3,"",4,0,5,0,9,"Moderate",76
808,"HG-WEST","WQCI","CO18","WHG","Haida Gwaii - West","CO-24","Coho",3,"",1,1,2,3,7,"Low",66
809,"HG-GRAHAM ISLAND LOWLANDS","NQCI","CO19","NHG","Haida Gwaii - North","CO-25","Coho",3,"",1,1,3,3,8,"Moderate",28
807,"HG-EAST","EQCI","CO20","EHG","Haida Gwaii - East ","CO-23","Coho",3,"",1,1,3,3,8,"Moderate",110
516,"Smith Inlet","Smith","CO21","RSI","Rivers-Smith Inlet","CO-20","Coho",3,"",1,5,1,3,10,"None",13
517,"Rivers Inlet","Rivers","CO21","RSI","Rivers-Smith Inlet","CO-21","Coho",3,"",0,0,0,0,0,"Moderate",24
518,"Bella Coola-Dean Rivers","BCD","CO22","BCD","Bella Coola - Dean Rivers","CO-22","Coho",3,"",1,5,4,1,11,"Moderate",32
520,"Hecate Strait Mainland","HecLow+HStr","CO23","HecLow","Hecate Strait Mainland","CO-27","Coho",3,"",1,3,1,1,6,"Moderate",185
519,"Mussel-Kynoch","MusKyn","CO24","NCS","Northern Coastal Streams","CO-26","Coho",3,"",1,3,2,1,7,"None",14
521,"Brim-Wahoo","BRIM","CO24","NCS","Northern Coastal Streams","CO-28","Coho",3,"",0,5,5,1,11,"None",NA
522,"Douglas Channel-Kitimat Arm","DOUG","CO24","NCS","Northern Coastal Streams","CO-29","Coho",3,"",0,2,4,1,7,"Moderate",33
523,"N Coastal Streams","NCS","CO24","NCS","Northern Coastal Streams","CO-30","Coho",3,"",1,5,4,1,11,"Low",62
225,"Skeena Estuary-CO","NSKEst","CO25","NSKEst","Skeena Estuary","CO-31","Coho",3,"",0,0,0,0,0,"Moderate",30
202,"Lower Skeena-CO","LSKNA","CO26","LSK","Lower Skeena","CO-32","Coho",3,"",1,3,2,3,9,"Moderate",93
215,"Middle Skeena-CO","MSKNA","CO27","MSK","Middle Skeena","CO-33","Coho",3,"",1,2,2,3,8,"Moderate",90
231,"Upper Skeena-CO","USKNA","CO28","USK","Upper Skeena","CO-34","Coho",3,"",4,4,3,3,14,"None",19
408,"Lower Nass","LNASS","CO29","LNR-P","Lower Nass - Portland Canal ","CO-35","Coho",3,"",1,1,4,3,9,"Low",23
410,"Portland Sound-Observatory Inlet-Portland Canal","PORT","CO29","LNR-P","Lower Nass - Portland Canal ","CO-37","Coho",3,"",1,1,2,3,7,"Low",33
409,"Upper Nass","UNASS","CO30","UNR","Upper Nass","CO-36","Coho",3,"",2,2,4,3,11,"None",13
NA,"Unuk River","UNUK","CO31","Unuk","Unuk","CO-38","Coho",3,"",NA,NA,NA,NA,NA,NA,NA
NA,"Lower Stikine","LStk","CO32","LStk","Lower Stikine","CO-39","Coho",3,"",NA,NA,NA,NA,NA,NA,8
NA,"Whiting River","Whiting","CO33","Whiting","Whiting River","CO-40","Coho",3,"",NA,NA,NA,NA,NA,NA,NA
NA,"Taku","Taku","CO34","Taku","Taku","CO-41","Coho",3,"",NA,NA,NA,NA,NA,NA,8
NA,"Taku","Taku","CO34","Taku","Taku","CO-42","Coho",3,"",NA,NA,NA,NA,NA,NA,NA
NA,"Taku","Taku","CO34","Taku","Taku","CO-43","Coho",3,"",NA,NA,NA,NA,NA,NA,NA
NA,"Lynn Canal","LYNN","CO35","LYNN","Chilkat","CO-44","Coho",3,"",NA,NA,NA,NA,NA,NA,NA
NA,"Alsek","Alsek","CO36","Alsek","Alsek","CO-45","Coho",3,"",NA,NA,NA,NA,NA,NA,1
NA,"Porcupine River","PORC","CO37","Yukon","Porcupine","CO-46","Coho",3,"",NA,NA,NA,NA,NA,NA,NA
209,"Lower Skeena (odd)","","","","","PKO-15","Pink",2,"",1,3,2,3,9,"None",58
213,"Middle & Upper Skeena (odd)","","","","","PKO-16","Pink",2,"",1,3,2,3,9,"None",65
218,"Middle-Upper Skeena (even)","","","","","PKE-08","Pink",2,"",0,4,2,3,9,"None",NA
219,"Nass-Skeena Estuary (even)","","","","","PKE-07","Pink",2,"",0,4,3,3,10,"Low",NA
223,"Nass-Skeena Estuary (odd)","","","","","PKO-14","Pink",2,"",1,2,3,3,9,"Low",37
240,"Lower Skeena (even)","","","","",NA,"Pink",2,"",0,0,0,0,0,NA,NA
412,"Upper Nass","","","","",NA,"Pink",NA,"",0,0,0,0,0,"None",NA
414,"Nass-Portland-Observatory","","","","","PKO-17","Pink",2,"",1,4,2,3,10,"None",60
415,"Upper Nass","","","","",NA,"Pink",NA,"",0,0,0,0,0,"None",NA
608,"Hecate Lowlands","","","","","PKE-05","Pink",2,"",0,4,3,2,9,"None",NA
609,"Hecate Strait-Fjords","","","","","PKE-06","Pink",2,"",0,4,4,2,10,"None",NA
610,"Homathko-Klinaklini-Rivers-Smith-Bella Coola Dean","","","","","PKO-08","Pink",2,"",0,2,1,2,5,"Low",NA
611,"Hecate Strait-Lowlands","","","","","PKO-12","Pink",2,"",1,3,3,2,9,"None",182
612,"Hecate Strait-Fjords","","","","","PKO-13","Pink",2,"",1,4,3,2,10,"None",105
710,"Fraser River","","","","","PKO-1","Pink",2,"",5,5,5,5,20,"Moderate",96
810,"North Haida Gwaii","","","","","PKE-09","Pink",2,"",0,3,1,2,6,"None",NA
811,"East Haida Gwaii","","","","","PKE-10","Pink",2,"",0,2,1,2,5,"Low",100
812,"West Haida Gwaii","","","","","PKE-11","Pink",2,"",0,2,1,2,5,"None",66
813,"East Haida Gwaii","","","","","PKO-09","Pink",2,"",0,1,1,2,4,"Low",NA
814,"North Haida Gwaii","","","","","PKO-10","Pink",2,"",0,0,0,2,2,"None",13
815,"West Haida Gwaii","","","","","PKO-11","Pink",2,"",0,1,0,2,3,"None",39
917,"Georgia Strait","","","","","PKE-1","Pink",2,"",4,4,4,3,15,"Moderate",68
918,"West Vancouver Island","","","","","PKE-2","Pink",2,"",0,0,0,0,0,"Low",85
919,"Northwest Vancouver Island","","","","","PKE-3","Pink",2,"",0,0,0,0,0,"Low",35
920,"Southern Fjords","","","","","PKE-4","Pink",2,"",3,2,4,3,12,"Moderate",102
921,"East Howe Sound-Burrard Inlet","","","","","PKO-2","Pink",2,"",0,0,0,3,3,"Moderate",13
