"cuid","cuname.x","cu_acronym","du_number","du_acronym","DU_name","FULL_CU_IN","spp","gen_length","COSEWIC_status","survey_quality","survey_coverage","survey_execution","catch_quality","dq_score","cu_enh_rank","Sites","Region"
313,"South Thompson_SU_0.3","STh-0.3","CK12","STh+GStr/Ocean/Summer","South Thompson, Ocean, Summer population","CK-13","Chinook",4,"Not at risk",2,1,5,0,8,"None",10,"Fraser"
314,"South Thompson_SU_1.3","STh-1.3","CK13","STh+GStr/Stream/Summer","South Thompson, Stream, Summer 1.3 population","CK-14","Chinook",5,"Endangered",3,5,5,0,13,"Moderate",4,"Fraser"
315,"Shuswap River_SU_0.3","STh-SHUR","CK12","STh+GStr/Ocean/Summer","South Thompson, Ocean, Summer population","CK-15","Chinook",4,"Not at risk",4,5,5,0,14,"Moderate",4,"Fraser"
316,"South Thompson-Bessette Creek_SU_1.2","STh-BESS","CK14","STh+GStr/Stream/Summer/(Bessette)","South Thompson, Stream, Summer 1.2 (Bessette) population","CK-16","Chinook",4,"Endangered",3,0,5,0,8,"None",4,"Fraser"
317,"Lower Thompson_SP_1.2","LTh","CK15","LTh+GStr/Stream/Spring","Lower Thompson, Stream, Spring population","CK-17","Chinook",4,"Endangered",3,5,5,0,13,"Moderate",9,"Fraser"
318,"North Thompson_SP_1.3","NTh-spr","CK16","NTh+GStr/Stream/Spring","North Thompson, Stream, Spring population","CK-18","Chinook",5,"Endangered",3,1,5,0,9,"Low",7,"Fraser"
319,"North Thompson_SU_1.3","NTh-sum","CK17","NTh+Gstr/Stream/Summer","North Thompson, Stream, Summer population","CK-19","Chinook",5,"Endangered",2,3,5,0,10,"Low",7,"Fraser"
320,"Southern Mainland-Georgia Strait_FA_0.x","SC-GStr","CK18","SC+GStr/Ocean/Fall","South Coast - Georgia Strait, Ocean, Fall population","CK-20","Chinook",4,"Data Deficient",0,0,0,0,0,"High",39,"VIMI"
321,"East Vancouver Island-Goldstream_FA_0.x","Goldstr","CK21","EVI+GStr/Ocean/Fall","East Vancouver Island, Ocean, Fall population","CK-21","Chinook",3,"Special Concern",0,5,0,0,5,"High",2,"VIMI"
322,"East Vancouver Island-Cowichan and Koksilah_FA_0.x","CWCH-KOK","CK21","EVI+GStr/Ocean/Fall","East Vancouver Island, Ocean, Fall population","CK-22","Chinook",3,"Special Concern",5,5,5,0,15,"High",7,"VIMI"
323,"East Vancouver Island-Nanaimo_SP_1.x","NanR-spr","CK19","EVI+GStr/Stream/Spring","East Vancouver Island, Stream, Spring population","CK-23","Chinook",4,"Endangered",0,0,0,0,0,"None",1,"VIMI"
